Period,0-1,1-2,2-3,3-4,4-5,5-6,6-7,7-8,8-9,9-10,10-11,11-12,12-13,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-24
2017.01.01,4041,3925,3677,3486,3424,3456,3547,3626,3783,4026,4183,4297,4338,4262,4250,4319,4618,4781,4782,4788,4668,4538,4310,4074
2017.01.02,3844,3739,3582,3522,3640,4004,4664,5040,5250,5461,5561,5642,5682,5612,5571,5613,5814,5850,5763,5659,5471,5285,5052,4809
2017.01.03,4479,4287,4086,3993,4091,4404,5136,5432,5480,5517,5504,5526,5552,5508,5500,5576,5791,5866,5795,5715,5484,5260,5032,4813
2017.01.04,4508,4318,4137,4042,4142,4482,5225,5547,5637,5736,5773,5860,5905,5824,5803,5881,6005,6003,5908,5808,5586,5370,5131,4886
2017.01.05,4576,4378,4159,4073,4184,4537,5295,5597,5626,5631,5629,5679,5703,5662,5669,5777,6020,6066,5970,5894,5684,5471,5244,5009
2017.01.06,4718,4517,4323,4226,4333,4687,5467,5790,5824,5850,5881,5925,5930,5861,5864,5940,6160,6235,6095,5965,5777,5618,5396,5153
2017.01.07,4820,4649,4430,4315,4349,4424,4713,5004,5279,5494,5581,5674,5665,5506,5413,5435,5678,5786,5735,5663,5485,5281,5040,4781
2017.01.08,4451,4351,4186,4085,4119,4189,4393,4664,4999,5294,5445,5512,5448,5265,5188,5200,5495,5693,5658,5621,5444,5216,4978,4715
2017.01.09,4450,4365,4218,4161,4298,4696,5584,5955,6029,6069,6059,6081,6115,6036,6001,6060,6242,6293,6198,6113,5915,5702,5445,5234
2017.01.10,4947,4790,4598,4524,4623,4972,5776,6108,6135,6158,6122,6109,6136,6073,6064,6149,6317,6380,6322,6226,6030,5839,5578,5328
2017.01.11,4986,4797,4597,4483,4584,4962,5742,6057,6095,6114,6115,6104,6088,6010,5971,6045,6240,6345,6279,6223,6005,5788,5534,5304
2017.01.12,4995,4803,4576,4460,4603,4973,5740,6015,6065,6090,6085,6121,6114,6021,5982,6077,6210,6264,6162,6066,5834,5605,5361,5143
2017.01.13,4826,4645,4450,4353,4461,4794,5549,5887,6006,6106,6197,6296,6312,6183,6080,6083,6181,6180,6037,5880,5659,5471,5243,5009
2017.01.14,4696,4506,4283,4169,4191,4311,4621,4909,5163,5363,5452,5505,5462,5286,5183,5200,5436,5591,5472,5391,5239,5031,4791,4545
2017.01.15,4272,4150,3955,3845,3852,3942,4194,4453,4785,5063,5220,5273,5166,4997,4942,4971,5208,5446,5421,5395,5229,5038,4811,4574
2017.01.16,4324,4244,4106,4040,4168,4580,5480,5839,5917,6001,6020,6029,6045,5953,5905,5957,6081,6185,6114,6022,5800,5566,5311,5080
2017.01.17,4791,4604,4396,4312,4423,4781,5586,5889,5892,5956,5966,6002,5984,5891,5860,5909,6030,6175,6098,6003,5786,5574,5321,5092
2017.01.18,4793,4601,4409,4322,4433,4785,5565,5894,5915,5956,5963,5988,5988,5901,5857,5919,6032,6198,6128,6056,5839,5637,5382,5157
2017.01.19,4841,4665,4473,4387,4499,4861,5662,5965,5964,5976,5951,5972,5954,5866,5815,5881,6032,6222,6157,6075,5855,5649,5439,5206
2017.01.20,4885,4737,4542,4452,4569,4942,5727,6025,6071,6096,6020,6006,5980,5878,5842,5882,6044,6216,6099,6010,5806,5618,5408,5181
2017.01.21,4881,4724,4513,4406,4410,4533,4878,5198,5493,5679,5701,5706,5634,5442,5284,5273,5448,5704,5653,5592,5407,5190,4942,4709
2017.01.22,4455,4371,4185,4054,4055,4128,4375,4642,4989,5277,5418,5467,5346,5165,5066,5055,5232,5490,5505,5481,5319,5099,4883,4658
2017.01.23,4452,4378,4224,4144,4273,4703,5596,5964,6107,6189,6197,6215,6174,6051,5973,5988,6053,6223,6151,6077,5855,5654,5418,5202
2017.01.24,4908,4735,4550,4454,4553,4897,5699,6011,6117,6188,6206,6193,6162,6058,6007,6050,6118,6276,6203,6127,5923,5701,5472,5245
2017.01.25,4933,4748,4560,4471,4562,4888,5690,6009,6088,6178,6197,6206,6213,6144,6087,6107,6146,6265,6186,6082,5846,5605,5367,5155
2017.01.26,4851,4657,4460,4355,4469,4833,5599,5921,6020,6055,6044,6052,6026,5937,5878,5899,5992,6183,6142,6062,5874,5663,5436,5250
2017.01.27,4969,4796,4598,4519,4626,4976,5740,6071,6180,6267,6299,6322,6301,6195,6139,6155,6154,6231,6117,6023,5814,5616,5415,5184
2017.01.28,4884,4714,4502,4395,4414,4521,4828,5136,5467,5718,5830,5883,5833,5625,5505,5458,5523,5715,5682,5633,5459,5253,5013,4793
2017.01.29,4537,4447,4272,4141,4125,4235,4461,4731,5072,5397,5581,5576,5435,5210,5100,5081,5201,5516,5544,5525,5359,5145,4924,4671
2017.01.30,4444,4376,4261,4172,4319,4745,5621,5983,6140,6228,6233,6247,6228,6122,6073,6093,6089,6248,6197,6113,5913,5696,5456,5236
